atl_food_place_id,atl_food_place_title,menu_item_id,title,calories,protein_g,carbs_g,fat_g,cholesterol_mg,sodium_mg,nutrition_score
2,Gusto! Healthy Bowls & Wraps (West End),105,Queso Verde Queso| Half & Half | Halfed Avocado,283.0,4.0,36.0,14.0,5.0,440.0,2.18
2,Gusto! Healthy Bowls & Wraps (West End),97,Queso Verde Queso | Half & Half | Umami Tofu,296.0,6.0,35.0,4.0,5.0,1080.0,2.16
2,Gusto! Healthy Bowls & Wraps (West End),57,Tahini Cucumber Feta | Half & Half | Umami Tofu,441.0,13.0,43.0,14.0,20.0,1480.0,2.15
2,Gusto! Healthy Bowls & Wraps (West End),137,Ginger Lime Peanut | Half & Half | Umami Tofu,365.0,9.0,36.0,11.0,0.0,1022.0,2.14
2,Gusto! Healthy Bowls & Wraps (West End),125,Sweet Soy Sriracha| Half & Half | Halfed Avocado,312.0,5.0,38.0,17.0,3.0,442.0,2.14
2,Gusto! Healthy Bowls & Wraps (West End),111,Sweet Soy Sriracha | Brown Rice | Grilled Spicy Chicken,685.0,46.0,90.0,15.0,173.0,2464.0,2.13
2,Gusto! Healthy Bowls & Wraps (West End),117,Sweet Soy Sriracha | Half & Half | Umami Tofu,325.0,7.0,37.0,7.0,3.0,1082.0,2.12
2,Gusto! Healthy Bowls & Wraps (West End),119,Sweet Soy Sriracha| Brown Rice | Grilled Shrimp,545.0,21.0,88.0,10.0,146.0,2683.0,2.12
2,Gusto! Healthy Bowls & Wraps (West End),107,Sweet Soy Sriracha | Brown Rice | Grilled Chicken,685.0,45.0,88.0,16.0,173.0,2383.0,2.12
2,Gusto! Healthy Bowls & Wraps (West End),156,Polynesian Chili Mango  | Mixed Greens| Umami Tofu,309.0,7.0,22.0,12.0,0.0,889.0,2.12
2,Gusto! Healthy Bowls & Wraps (West End),42,Curry Apple Pecan | Flat Bread Wrap |Grilled Shrimp,626.0,31.0,61.5,26.0,143.0,2605.0,2.11
2,Gusto! Healthy Bowls & Wraps (West End),165,Polynesian Chili Mango  | Half & Half | Halfed Avocado,378.0,6.0,42.0,22.0,0.0,350.0,2.1
2,Gusto! Healthy Bowls & Wraps (West End),151,Polynesian Chili Mango  | Brown Rice | Grilled Spicy Chicken,680.0,46.0,78.0,20.0,170.0,1501.0,2.09
2,Gusto! Healthy Bowls & Wraps (West End),159,Polynesian Chili Mango  | Brown Rice | Grilled Shrimp,540.0,21.0,76.0,15.0,143.0,1720.0,2.09
2,Gusto! Healthy Bowls & Wraps (West End),147,Polynesian Chili Mango | Brown Rice | Grilled Chicken,680.0,45.0,76.0,21.0,170.0,1420.0,2.08
